radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188817156,198,133.0492638,34.1472698,0,77,1,1682860850,1731211988,
LTE,440,11,39937,188817157,343,133.0381445,34.1345331,0,108,1,1682860850,1719754254,
LTE,440,11,39938,188817159,324,132.4244607,33.4586972,0,60,1,1678796095,1747708575,
LTE,440,11,39938,188817160,376,132.4269419,33.4565434,0,21,1,1678796095,1747708580,
LTE,440,11,39938,188817161,266,132.4212804,33.4573170,0,53,1,1678796095,1733364950,
LTE,440,11,39937,188817409,233,133.3512380,33.9423016,0,165,1,1679117594,1737368025,
LTE,440,11,39938,188817410,315,132.7642989,33.5626329,0,94,1,1681976881,1720497531,
LTE,440,11,39937,188817411,9,132.7101184,33.6440148,0,250,1,1679302408,1720497532,
LTE,440,11,39938,188817668,8,132.4323110,33.4507885,0,10,1,1679209545,1747708577,
LTE,440,11,39938,188817669,0,132.4315644,33.4549098,0,16,1,1678796095,1747708577,
LTE,440,11,39938,188817670,349,132.4414858,33.4481045,0,158,1,1679475914,1747708581,
LTE,440,11,39938,188817921,4,132.8035866,33.3361682,0,17,1,1681093027,1746280984,
LTE,440,11,39937,188817924,293,132.7986409,33.7342310,0,98,1,1678605496,1735280082,
LTE,440,11,39938,188818181,90,132.6801123,33.6088389,0,20,1,1679748106,1732090527,
LTE,440,11,39938,188818182,103,132.6790166,33.6035292,0,151,1,1678796088,1732090527,
LTE,440,11,39938,188818183,227,132.4324617,33.4578234,0,34,1,1679748034,1747708577,
LTE,440,11,39938,188818184,78,132.4302309,33.4569779,0,4,1,1679748034,1733364950,
LTE,440,11,39938,188818185,235,132.4289769,33.4577208,0,5,1,1679652817,1733364950,
LTE,440,11,39938,188818436,228,132.6784767,33.6147676,0,105,1,1682580149,1720497535,
LTE,440,11,39937,188818945,145,133.0089194,33.9779386,0,174,1,1682177012,1733633756,
LTE,440,11,39938,188818946,242,132.6410389,32.7804903,0,7,1,1746280943,1746280944,
LTE,440,11,39937,188818949,160,133.4924681,33.9629195,0,264,1,1683677910,1737368027,
LTE,440,11,39937,188819202,24,133.1843268,33.9111592,0,30,1,1683677993,1737368020,
LTE,440,11,39937,188819203,167,133.1648613,33.9110385,0,22,1,1683989551,1733633763,
LTE,440,11,39938,188819458,161,132.7157301,33.5741949,0,173,1,1681976881,1720497529,
LTE,440,11,39938,188819460,159,132.7126067,33.5733428,0,114,1,1681976881,1720497529,
LTE,440,11,39937,188819461,112,132.6198685,33.6764256,0,37,1,1682067252,1743126654,
LTE,440,11,39937,188819463,290,132.6177683,33.6761977,0,33,1,1681976756,1743126654,
LTE,440,11,39937,188819713,149,132.7761027,33.8363146,0,38,1,1683715633,1737296152,
LTE,440,11,39937,188819714,267,132.7726522,33.8352547,0,17,1,1683715634,1731212015,
LTE,440,11,39938,188819969,214,132.6677970,33.5725518,0,175,1,1681976793,1722645684,
