radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188797444,324,133.2694633,33.9218739,0,33,1,1683678463,1735887282,
LTE,440,11,39937,188797445,140,133.2649087,33.9103348,0,59,1,1683677949,1750474202,
LTE,440,11,39937,188797447,80,133.2997590,33.9361650,0,106,1,1679117594,1751089568,
LTE,440,11,39937,188797448,156,133.3203540,33.9259718,0,96,1,1683677949,1750514373,
LTE,440,11,39937,188797449,316,133.2984580,33.9300090,0,38,1,1682532915,1750474202,
LTE,440,11,39937,188797450,137,133.3228988,33.9408808,0,105,1,1679117594,1751089568,
LTE,440,11,39937,188797451,133,133.3198821,33.9337842,0,66,1,1679117594,1751089568,
LTE,440,11,39937,188797452,48,133.3140438,33.9437469,0,67,1,1682532913,1750514373,
LTE,440,11,39937,188797697,356,133.2969572,33.9502689,0,24,1,1677792821,1737296133,
LTE,440,11,39937,188797698,319,133.2961177,33.9439137,0,37,1,1683142907,1750514373,
LTE,440,11,39937,188797699,240,133.2930749,33.9468573,0,46,1,1677792821,1754740365,
LTE,440,11,39937,188797700,219,133.2901826,33.9447761,0,52,1,1678795925,1754740365,
LTE,440,11,39937,188797701,239,133.2943703,33.9391329,0,122,1,1682532923,1754740365,
LTE,440,11,39937,188797703,123,133.3666094,33.9365952,0,81,1,1679117584,1750514373,
LTE,440,11,39937,188797704,280,133.3655179,33.9341900,0,62,1,1683677949,1750514373,
LTE,440,11,39937,188797705,143,133.3598437,33.9395530,0,62,1,1679117584,1737368025,
LTE,440,11,39937,188797706,304,133.3284116,33.9340718,0,26,1,1683989559,1751089568,
LTE,440,11,39937,188797707,336,133.3290864,33.9275923,0,116,1,1682532915,1751089568,
LTE,440,11,39937,188797708,245,133.3109923,33.9409875,0,60,1,1682532913,1751089568,
LTE,440,11,39937,188797953,53,133.2555434,33.9243026,0,276,1,1678795925,1754740365,
LTE,440,11,39937,188797954,63,133.2482412,33.9209913,0,87,1,1682579741,1751089567,
LTE,440,11,39937,188797955,256,133.2465468,33.9230031,0,133,1,1678795968,1754740364,
LTE,440,11,39937,188797956,162,133.2863641,33.9250819,0,34,1,1715422161,1751092160,
LTE,440,11,39937,188797957,194,133.3061911,33.9245818,0,266,1,1682532915,1751089569,
LTE,440,11,39937,188797958,115,133.2783949,33.9143767,0,13,1,1683677949,1751089569,
LTE,440,11,39937,188797959,195,133.2705026,33.9296256,0,126,1,1678795925,1754740365,
LTE,440,11,39937,188797961,325,133.2653687,33.9272952,0,292,1,1678795925,1754740365,
LTE,440,11,39937,188797962,136,133.3094586,33.9240411,0,103,1,1682532915,1751089568,
LTE,440,11,39937,188797963,66,133.3003488,33.9233884,0,72,1,1682532915,1751089568,
LTE,440,11,39937,188797964,32,133.2973689,33.9318841,0,23,1,1679117594,1737368024,
LTE,440,11,39937,188798211,196,133.3064317,33.9470922,0,19,1,1686403252,1737296133,
LTE,440,11,39937,188798212,286,133.3071977,33.9405607,0,30,1,1683989559,1750514373,
LTE,440,11,39937,188798213,195,133.3179462,33.9366935,0,121,1,1679117594,1751089568,
LTE,440,11,39937,188798214,227,133.3072619,33.9365812,0,100,1,1679117594,1751089568,
LTE,440,11,39937,188798215,376,132.9474131,34.0244303,0,215,1,1676719942,1734263680,
LTE,440,11,39937,188798217,344,132.9410807,34.0201581,0,32,1,1676719942,1734263680,
LTE,440,11,39937,188798465,185,132.8856764,34.0569402,0,13,1,1678795996,1750573793,
LTE,440,11,39937,188798466,220,132.8807455,34.0519247,0,25,1,1714916778,1750573793,
LTE,440,11,39937,188798467,237,132.8835518,34.0524476,0,28,1,1714916778,1750573793,
LTE,440,11,39937,188798468,242,132.9395248,34.0152105,0,67,1,1676719942,1751194873,
LTE,440,11,39937,188798469,241,132.9416471,34.0128332,0,61,1,1699691179,1751194873,
LTE,440,11,39937,188798470,321,132.9380030,34.0098582,0,114,1,1676719942,1751194873,
LTE,440,11,39937,188798471,86,132.8662339,34.0261795,0,28,1,1680971562,1750573794,
LTE,440,11,39937,188798472,273,132.8643627,34.0237997,0,11,1,1680971562,1750573794,
LTE,440,11,39937,188798473,85,132.8624665,34.0234892,0,51,1,1680971562,1750573794,
LTE,440,11,39937,188798726,246,132.8591440,34.0490973,0,213,1,1678795996,1751172411,
LTE,440,11,39937,188798727,124,132.8538594,34.0440179,0,34,1,1678795996,1751172411,
LTE,440,11,39937,188798728,35,132.8499260,34.0422735,0,112,1,1678795996,1751172411,
LTE,440,11,39937,188798729,186,132.8421801,34.0372257,0,15,1,1685297867,1751172411,
LTE,440,11,39937,188798730,368,132.8450592,34.0362519,0,128,1,1678795996,1751172411,
LTE,440,11,39937,188798731,226,132.8359502,34.0331051,0,89,1,1678795996,1751172411,
LTE,440,11,39937,188798977,227,132.8768638,34.0559451,0,107,1,1678795996,1751172410,
LTE,440,11,39937,188798978,259,132.8701302,34.0528980,0,63,1,1678795996,1751172410,
LTE,440,11,39937,188799489,232,132.8550556,34.0263449,0,48,1,1680971562,1750573794,
LTE,440,11,39937,188799490,179,132.8576494,34.0245070,0,66,1,1680971562,1750573794,
LTE,440,11,39937,188799491,351,132.8523014,34.0251716,0,58,1,1680971562,1750573794,
LTE,440,11,39937,188799492,361,132.9378088,34.0016891,0,152,1,1676719982,1751194873,
LTE,440,11,39938,188800006,199,132.5014405,33.5938910,0,193,1,1678855193,1731129051,
LTE,440,11,39938,188800261,125,132.4818847,33.6071552,0,48,1,1678855193,1731129052,
LTE,440,11,39938,188800262,216,132.4882298,33.6019800,0,165,1,1678855193,1731129052,
LTE,440,11,39938,188800263,312,132.4812524,33.6145697,0,24,1,1678855193,1731129052,
LTE,440,11,39938,188800264,152,132.4869685,33.6154769,0,356,1,1678855193,1731129052,
LTE,440,11,39938,188800265,106,132.4764187,33.6087456,0,28,1,1678855193,1731129052,
LTE,440,11,39937,188800770,223,132.9171075,33.7919256,0,14,1,1682235891,1737296147,
LTE,440,11,39937,188800771,56,132.9152863,33.8022181,0,4,1,1683678453,1737296159,
LTE,440,11,39938,188800774,146,132.3960552,33.3997604,0,36,1,1679652843,1747708573,
LTE,440,11,39937,188801025,178,132.9450161,33.8076939,0,154,1,1683678000,1737296161,
LTE,440,11,39937,188801026,2,132.9288252,33.7996047,0,41,1,1683678000,1737296160,
LTE,440,11,39937,188801027,297,132.9119776,33.7973873,0,19,1,1679295633,1737296159,
LTE,440,11,39937,188801029,350,132.9135981,33.7950825,0,76,1,1679295633,1737296160,
LTE,440,11,39937,188801030,264,132.9044742,33.7957533,0,191,1,1679295633,1737296160,
LTE,440,11,39937,188801031,25,132.8956777,33.8036822,0,6,1,1679295633,1737296147,
LTE,440,11,39937,188801032,198,132.8998625,33.7949398,0,120,1,1679295633,1737296160,
LTE,440,11,39937,188801033,332,132.8888008,33.7998902,0,42,1,1679295612,1737296147,
LTE,440,11,39937,188801281,226,132.9534776,33.7954432,0,76,1,1679293961,1737296146,
LTE,440,11,39937,188801282,155,132.9441739,33.7948253,0,111,1,1679293961,1737296146,
LTE,440,11,39937,188801283,225,132.9341146,33.7935293,0,57,1,1679293961,1737296146,
LTE,440,11,39937,188801284,190,132.9279983,33.7946950,0,131,1,1679293961,1737296160,
LTE,440,11,39937,188801285,286,132.7795149,33.9636288,0,52,1,1680971582,1750573796,
LTE,440,11,39937,188801286,348,132.7752610,33.9592696,0,98,1,1678796011,1751178671,
LTE,440,11,39937,188801287,374,132.7748031,33.9640473,0,165,1,1678796011,1751178671,
LTE,440,11,39937,188801290,346,132.7991113,33.9714370,0,103,1,1680971575,1731241919,
LTE,440,11,39937,188801537,315,132.9197341,33.7892390,0,40,1,1683678000,1737296160,
LTE,440,11,39937,188801539,160,132.7765032,34.0012726,0,79,1,1678796011,1751172412,
LTE,440,11,39937,188801540,120,132.7719915,33.9992224,0,36,1,1684992846,1751172412,
LTE,440,11,39937,188801542,274,132.7760708,33.9461930,0,124,1,1680971582,1751178672,
LTE,440,11,39937,188801543,117,132.7798690,33.9582773,0,127,1,1678796011,1751172412,
LTE,440,11,39937,188801544,245,132.8012331,33.9771766,0,14,1,1680971575,1750573795,
LTE,440,11,39937,188801545,256,132.7546410,33.9401229,0,253,1,1678796011,1751178671,
LTE,440,11,39937,188801793,170,132.7905029,33.9703245,0,24,1,1680971575,1750573796,
LTE,440,11,39937,188801794,111,132.7823190,33.9684605,0,46,1,1680971575,1750573796,
LTE,440,11,39937,188801795,298,132.7808366,33.9742387,0,76,1,1678796011,1751178671,
LTE,440,11,39937,188801796,52,132.8043215,34.0128882,0,148,1,1678795996,1751172412,
LTE,440,11,39937,188801797,327,132.8003541,34.0087364,0,11,1,1678796011,1751172412,
LTE,440,11,39937,188801798,50,132.7961301,34.0088855,0,165,1,1678796011,1751172412,
LTE,440,11,39937,188801799,76,133.4515241,33.9637085,0,55,1,1677792809,1737368026,
LTE,440,11,39937,188801800,140,133.4660116,33.9564442,0,208,1,1679117584,1750514371,
LTE,440,11,39937,188801801,297,133.4501305,33.9606902,0,143,1,1677792809,1750514371,
LTE,440,11,39937,188801802,65,133.4672517,33.9636781,0,117,1,1679117584,1750514369,
LTE,440,11,39937,188801803,67,133.4605451,33.9622288,0,84,1,1679117584,1750514371,
LTE,440,11,39937,188801804,236,133.4617910,33.9671674,0,16,1,1677792809,1737368026,
LTE,440,11,39937,188802049,302,133.4392459,33.9607375,0,105,1,1677792809,1737368026,
LTE,440,11,39937,188802050,75,133.4398639,33.9529651,0,75,1,1680168387,1750514371,
LTE,440,11,39937,188802051,91,133.4301470,33.9607902,0,117,1,1677792809,1750474205,
LTE,440,11,39937,188802053,151,133.3962638,33.9635393,0,79,1,1716616827,1750474204,
LTE,440,11,39937,188802055,18,133.4179729,33.9547634,0,194,1,1677792809,1750514372,
LTE,440,11,39937,188802056,2,133.4121508,33.9524829,0,215,1,1677792809,1750514372,
LTE,440,11,39937,188802058,378,132.7754681,33.9897874,0,73,1,1734249103,1751172412,
LTE,440,11,39937,188802059,149,132.7813922,33.9826569,0,121,1,1678796011,1751178671,
LTE,440,11,39937,188802060,328,132.7610435,33.9709640,0,110,1,1678796011,1751190128,
LTE,440,11,39937,188802305,93,133.3766569,33.9377271,0,308,1,1679117584,1750514373,
LTE,440,11,39937,188802306,270,133.3995418,33.9549400,0,167,1,1677792690,1737368025,
LTE,440,11,39937,188802307,145,133.3874838,33.9438980,0,141,1,1679117584,1750514372,
LTE,440,11,39937,188802308,338,133.3887578,33.9537943,0,85,1,1677792690,1723794666,
LTE,440,11,39937,188802310,296,133.4621478,33.9646442,0,40,1,1677792809,1750474211,
LTE,440,11,39937,188802311,148,133.4322716,33.9564559,0,141,1,1678795887,1750514372,
LTE,440,11,39937,188802312,313,133.4220811,33.9780690,0,69,1,1683989570,1735887282,
LTE,440,11,39937,188802313,92,133.4295114,33.9665263,0,201,1,1677792809,1750514371,
LTE,440,11,39937,188802314,339,133.4133542,33.9459850,0,64,1,1683677949,1750514372,
LTE,440,11,39937,188802562,84,133.4304939,33.9499725,0,31,1,1690093220,1750474205,
LTE,440,11,39937,188802564,255,133.0227148,34.0230524,0,288,1,1678795984,1750514378,
LTE,440,11,39937,188802565,308,133.0136202,34.0144523,0,15,1,1682177012,1749973421,
LTE,440,11,39937,188802566,289,133.0066653,34.0214998,0,333,1,1679828267,1754740357,
